Id,Party,Handle,Tweet,Sentiment,Category
1,Democrat,RepDarrenSoto,RT @WaelAlzayat: Thank you @RepDarrenSoto for being a good friend and an avid supporter of immigrant rights. #EmgagetheHill #EmgageAction h…,0.8979,Immigration
1723,Republican,LamarSmithTX21,I am disappointed in the administration’s immigration proposal... This proposal grants amnesty today and delays leg… https://t.co/5swxBoMFPF,-0.296,Immigration
1727,Republican,RepShimkus,RT @SteveScalise: Inspiring pro-life and pro-adoption story from Louisiana ↓ https://t.co/YTVlJKxf2p,0.4215,Abortion
1728,Republican,RepShimkus,President Trump will talk immigration policy during tonight's #SOTU. In my district there is significant support fo… https://t.co/GrnFXcGzsG,0.5423,Immigration
32,Democrat,RepBarragan,RT @RoKhanna: It’s a travesty that black men who commit the same crimes as white men receive federal prison sentences that are nearly 20 pe…,-0.6808,Incarceration,140
41,Democrat,RepRoKhanna,"Those serious about criminal justice reform should look to the efforts of the Philadelphia, San Francisco, San Dieg… https://t.co/EFKT6pWK5w",-0.0772,Incarceration,140
74,Democrat,RepJayapal,"RT @alangomez: As @realDonaldTrump admin tries to increase incarceration of undocumented immigrants, Democrats @KamalaHarris + @RepJayapal…",0.3182,Incarceration,139
97,Democrat,CongressmanRaja,"Pardons must not become a ""Get Out of Jail Free"" card for President Trump's friends, family, and advisors. https://t.co/YzjzmXjcqn",0.8225,Incarceration,130
94,Democrat,CongressmanRaja,Always glad to work with my colleagues in the House on real gun reform solutions. I'm grateful to have the chance t… https://t.co/PoOItqqGn5,0.743,GunControl,140
